County,State,Population,Lat,Long_
Abbeville,South Carolina,24527,34.22333378,-82.46170658
Acadia,Louisiana,62045,30.295064899999996,-92.41419698
Accomack,Virginia,32316,37.76707161,-75.63234615
Ada,Idaho,481587,43.4526575,-116.24155159999998
Adair,Iowa,7152,41.33075609,-94.47105874
Adair,Kentucky,19202,37.10459774,-85.28129668
Adair,Missouri,25343,40.19058551,-92.60078167
Adair,Oklahoma,22194,35.88494195,-94.65859267
Adams,Colorado,517421,39.87432092,-104.3362578
Adams,Idaho,4294,44.89333571,-116.4545247
Adams,Illinois,65435,39.98815591,-91.18786813
Adams,Indiana,35777,40.7457653,-84.93671406
Adams,Iowa,3602,41.02903567,-94.69932645
Adams,Mississippi,30693,31.47669768,-91.35326037
Adams,Nebraska,31363,40.52449420000001,-98.50117804
Adams,North Dakota,2216,46.09686891,-102.5285397
Adams,Ohio,27698,38.84541072,-83.4718964
Adams,Pennsylvania,103009,39.87140411,-77.21610347
Adams,Washington,19983,46.98299757,-118.56017340000001
Adams,Wisconsin,20220,43.96974651,-89.76782777
Addison,Vermont,36777,44.03217337,-73.14130877
Aiken,South Carolina,170872,33.54338026,-81.63645384
Aitkin,Minnesota,15886,46.60962049,-93.41168259999999
Alachua,Florida,269043,29.67866525,-82.35928158
Alamance,North Carolina,169509,36.0434701,-79.39976137
Alameda,California,1671329,37.64629437,-121.8929271
Alamosa,Colorado,16233,37.57250606,-105.7885451
Albany,New York,305506,42.60060306,-73.97723916
Albany,Wyoming,38880,41.65498705,-105.72354150000001
Albemarle,Virginia,109330,38.02080697,-78.55481085
Alcona,Michigan,10405,44.6846864,-83.59507875
Alcorn,Mississippi,36953,34.88084463,-88.57996173
Aleutians East,Alaska,3337,55.32222414,-161.9722021
Aleutians West,Alaska,5634,52.3233,-174.1596
Alexander,Illinois,5761,37.18049267,-89.32910838
Alexander,North Carolina,37497,35.922379600000006,-81.17751948
Alexandria,Virginia,159428,38.814003,-77.08183073
Alfalfa,Oklahoma,5702,36.73090616,-98.32408495
